variant,query_id,avg_relevance,ndcg@10,recall@10,recall@50,recall@100,precision@10,n_results,n_scored,n_missing,n_relevant
bm25,212,0.45,0.8429281861275323,0.03608247422680412,0.21649484536082475,0.2268041237113402,0.7,100,10,1,194
bm25,213,0.35,0.48463056532043874,0.04316546762589928,0.2302158273381295,0.381294964028777,0.6,100,10,2,139
bm25,214,0.5,1.0,0.07462686567164178,0.3582089552238806,0.3656716417910448,1.0,100,10,5,134
bm25,215,0.75,0.7666063195727983,0.0411522633744856,0.205761316872428,0.2222222222222222,1.0,100,10,1,243
bm25,216,0.55,0.49802766171626056,0.054945054945054944,0.27472527472527475,0.4835164835164835,1.0,100,10,0,182
bm25,218,0.5,1.0,0.15384615384615385,0.46153846153846156,0.46153846153846156,1.0,100,10,11,65
bm25,219,0.5,1.0,0.2631578947368421,0.7894736842105263,0.7894736842105263,1.0,100,10,0,38
bm25,220,0.75,0.7650264766992624,0.10309278350515463,0.5051546391752577,0.5463917525773195,1.0,100,10,11,97
bm25,221,1.0,1.0,0.008865248226950355,0.0425531914893617,0.06560283687943262,1.0,100,10,2,1128
bm25,222,,,0.0,0.0,0.0,,100,0,100,36
bm25,223,0.05,0.16784795538657546,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.1,100,10,2,12
bm25,224,0.55,0.5431403341038608,0.136986301369863,0.684931506849315,0.7123287671232876,1.0,100,10,9,73
bm25,225,0.6,0.83207083871216,0.30303030303030304,0.6666666666666666,0.6666666666666666,1.0,100,10,3,33
bm25,226,0.8,0.7968180382628831,0.03184713375796178,0.1592356687898089,0.3184713375796178,1.0,100,10,0,314
bm25,227,1.0,1.0,0.056818181818181816,0.2840909090909091,0.5681818181818182,1.0,100,10,0,176
bm25,228,1.0,1.0,0.055248618784530384,0.26519337016574585,0.4972375690607735,1.0,100,10,0,181
bm25,229,1.0,1.0,0.019417475728155338,0.0970873786407767,0.1941747572815534,1.0,100,10,0,515
bm25,230,1.0,1.0,0.04329004329004329,0.20346320346320346,0.20346320346320346,1.0,100,10,7,231
bm25,231,1.0,1.0,0.027855153203342618,0.1392757660167131,0.27298050139275765,1.0,100,10,0,359
bm25,232,0.85,0.792674959290559,0.0156794425087108,0.08188153310104529,0.15505226480836237,0.9,100,10,0,574
bm25,233,0.95,0.9501243164282663,0.06622516556291391,0.33112582781456956,0.4105960264900662,1.0,100,10,3,151
bm25,234,1.0,1.0,0.06944444444444445,0.3472222222222222,0.6875,1.0,100,10,0,144
bm25,235,1.0,1.0,0.06535947712418301,0.32679738562091504,0.6274509803921569,1.0,100,10,0,153
bm25,236,0.6,0.5106348701914312,0.05056179775280899,0.24719101123595505,0.29213483146067415,0.9,100,10,2,178
bm25,237,0.65,0.9254160677686342,0.052083333333333336,0.23958333333333334,0.3645833333333333,1.0,100,10,0,192
bm25,238,0.95,0.957024409423078,0.031545741324921134,0.15772870662460567,0.20189274447949526,1.0,100,10,0,317
bm25,239,1.0,1.0,0.037037037037037035,0.18518518518518517,0.29259259259259257,1.0,100,10,5,270
bm25,240,0.95,0.9627318051219201,0.15625,0.625,0.625,1.0,100,10,0,64
bm25,241,0.85,0.8665341986709723,0.05291005291005291,0.25925925925925924,0.30158730158730157,1.0,100,10,1,189
bm25,242,0.8,0.8254196507173946,0.03558718861209965,0.13167259786476868,0.13167259786476868,1.0,100,10,11,281
bm25,243,0.95,0.9593281318415723,0.05128205128205128,0.2564102564102564,0.49230769230769234,1.0,100,10,1,195
bm25,244,0.6,0.6044790008420321,0.06993006993006994,0.17482517482517482,0.17482517482517482,1.0,100,10,30,143
bm25,245,0.95,0.9186562636831443,0.058823529411764705,0.27058823529411763,0.28823529411764703,1.0,100,10,0,170
bm25,246,0.65,0.6731809300184978,0.072,0.232,0.376,0.9,100,10,0,125
bm25,247,0.95,0.9444742617074797,0.014771048744460856,0.053175775480059084,0.0723781388478582,1.0,100,10,0,677
bm25,248,1.0,1.0,0.22727272727272727,0.8409090909090909,0.9090909090909091,1.0,100,10,0,44
bm25,249,1.0,1.0,0.05181347150259067,0.25906735751295334,0.46113989637305697,1.0,100,10,0,193
bm25,250,1.0,1.0,0.08547008547008547,0.42735042735042733,0.6581196581196581,1.0,100,10,0,117
bm25,251,0.9,0.9197562145449983,0.07352941176470588,0.3235294117647059,0.34558823529411764,1.0,100,10,2,136
